ARTIST NAME,ARTIST PAGE URL,BIRTHDAY (YYYY-MM-DD)
Steve Miller Band,https://www.udiscovermusic.com/artist/steve-miller-band,
Steven Tyler,https://www.udiscovermusic.com/artist/steven-tyler,
Stevie Wonder,https://www.udiscovermusic.com/artist/stevie-wonder,
Styx,https://www.udiscovermusic.com/artist/styx,
Sublime,https://www.udiscovermusic.com/artist/sublime,
Sum 41,https://www.udiscovermusic.com/artist/sum-41,
Suzanne Vega,https://www.udiscovermusic.com/artist/suzanne-vega,
Sérgio Mendes,https://www.udiscovermusic.com/artist/sergio-mendes,
T. Bone Walker,https://www.udiscovermusic.com/artist/t-bone-walker,
T. Rex,https://www.udiscovermusic.com/artist/t-rex,
Take That,https://www.udiscovermusic.com/artist/take-that,
Tammi Terrell,https://www.udiscovermusic.com/artist/tammi-terrell,
Tangerine Dream,https://www.udiscovermusic.com/artist/tangerine-dream,
Tears For Fears,https://www.udiscovermusic.com/artist/tears-for-fears,
Teena Marie,https://www.udiscovermusic.com/artist/teena-marie,
Temple Of The Dog,https://www.udiscovermusic.com/artist/temple-of-the-dog,
Tesla,https://www.udiscovermusic.com/artist/tesla,
Texas,https://www.udiscovermusic.com/artist/texas,
The All-American Rejects,https://www.udiscovermusic.com/artist/the-all-american-rejects,
The Allman Brothers Band,https://www.udiscovermusic.com/artist/the-allman-brothers-band,
The Band,https://www.udiscovermusic.com/artist/the-band,
The Beatles,https://www.udiscovermusic.com/artist/The-Beatles,
The Brothers Johnson,https://www.udiscovermusic.com/artist/the-brothers-johnson/,
The Cadillac Three,https://www.udiscovermusic.com/artist/the-cadillac-three,
The Chemical Brothers,https://www.udiscovermusic.com/artist/the-chemical-brothers,
The Clash,https://www.udiscovermusic.com/artist/the-clash,
The Common Linnets,https://www.udiscovermusic.com/artist/the-common-linnets,
The Cranberries,https://www.udiscovermusic.com/artist/the-cranberries,
The Cure,https://www.udiscovermusic.com/artist/the-cure/,
The Damned,https://www.udiscovermusic.com/artist/the-damned,
The Doors,https://www.udiscovermusic.com/artist/the-doors,
The Flying Burrito Brothers,https://www.udiscovermusic.com/artist/the-flying-burrito-brothers,
The Human League,https://www.udiscovermusic.com/artist/the-human-league,
The Isley Brothers,https://www.udiscovermusic.com/artist/the-isley-brothers,
The Jackson 5,https://www.udiscovermusic.com/artist/jackson-5,
The Jam,https://www.udiscovermusic.com/artist/the-jam,
The Killers,https://www.udiscovermusic.com/artist/the-killers,
The Kinks,https://www.udiscovermusic.com/artist/the-kinks,
The Kooks,https://www.udiscovermusic.com/artist/the-kooks,
The Libertines,https://www.udiscovermusic.com/artist/the-libertines,
The Lumineers,https://www.udiscovermusic.com/artist/the-lumineers,
The Mamas & The Papas,https://www.udiscovermusic.com/artist/the-mamas-and-the-papas,
The Marvelettes,https://www.udiscovermusic.com/artist/the-marvelettes,
The Mavericks,https://www.udiscovermusic.com/artist/the-mavericks,
The Moody Blues,https://www.udiscovermusic.com/artist/the-moody-blues,
The Ozark Mountain Daredevils,https://www.udiscovermusic.com/artist/ozark-mountain-daredevils,
The Righteous Brothers,https://www.udiscovermusic.com/artist/the-righteous-brothers,
The Roots,https://www.udiscovermusic.com/artist/the-roots,
The Ruts,https://www.udiscovermusic.com/artist/the-ruts,
The Smashing Pumpkins,https://www.udiscovermusic.com/artist/the-smashing-pumpkins,
The Statler Brothers,https://www.udiscovermusic.com/artist/the-statler-brothers,
The Style Council,https://www.udiscovermusic.com/artist/the-style-council,
The Supremes,https://www.udiscovermusic.com/artist/the-supremes,
The Temptations,https://www.udiscovermusic.com/artist/the-temptations,
The Tubes,https://www.udiscovermusic.com/artist/the-tubes,
The Velvet Underground,https://www.udiscovermusic.com/artist/the-velvet-underground,
The Verve,https://www.udiscovermusic.com/artist/the-verve,
The Walker Brothers,https://www.udiscovermusic.com/artist/the-walker-brothers,
The Who,https://www.udiscovermusic.com/artists/the-who/,
Thelma Houston,https://www.udiscovermusic.com/artist/thelma-houston,
Thomas Rhett,https://www.udiscovermusic.com/artist/thomas-rhett,
Three Dog Night,https://www.udiscovermusic.com/artist/three-dog-night,
Tim McGraw,https://www.udiscovermusic.com/artist/tim-mcgraw,
